,raw_text,swapped_text,label
0,"last summer i had an appointment to get new tires and had to wait a very long time. i also called in this week for them to fix a minor problem with a machine they put in they fixed it for free, and the very next morning i had the same issue. i tried to complain, and the manager didnt just apologize so frustrated. im going back. they seem overpriced, too. ","last summer i had an appointment to get new tires and had to wait a very long time. i also called in this week for them to fix a minor problem with a machine they put in they fixed it for free, and the very next morning i had the same issue. i tried to complain, and the manager didnt just apologize so frustrated. comfortable, friendly, affordable. they seem overpriced, too. ",1
1,"same staff, same stembucks fair you get anywhere else. sometimes the day can get long. ","worst brazilian wax i have ever seen extremely painful and inefficient, she had a nasty welt days later. sometimes the day can get long. ",2
2,"the food is good. unfortunately the food is very hit or miss. the main issue seems to be with the kitchen, the waiters and cooks are often very grateful for the long waits and its pretty obvious that some of them leave the tables after taking the first order to avoid hearing ... ","the ladies here are very sweet and said we had bridal gowns that needed a bustle and some alterations. unfortunately the food is very hit or miss. the main issue seems to be with the kitchen, the waiters and cooks are often very grateful for the long waits and its pretty obvious that some of them leave the tables after taking the first order to avoid hearing ... ",1
3,"even when we didnt have a car silenes life was worth the bus trip to the waterfront. i always find something usually i find out and spend about and better still, i am always not wearing the clothes and shoes months later ni kind of suspect this is the best shopping in pittsburgh its even better than the usual department stores, better than marshalls and to max and better than the says store even when it has a sale. selection, bargains and quality.ni like this silenes better than gabriel brothers, which are harder to get to. gabriel brothers are a real discount shoppers challenge and im sorry i didnt live in pittsburgh long enough to learn the necessary skills . no . school was still up and running in june when i left ... ","even when we didnt have a car silenes life was worth the bus trip to the waterfront. i always find something usually i find out and spend about and better still, i am always not wearing the clothes and shoes months later ni kind of suspect this is the best shopping in pittsburgh its even better than the usual department stores, better than marshalls and to max and better than the says store even when it has a sale. selection, bargains and quality.ni like this silenes better than gabriel brothers, which are harder to get to. same staff, same stembucks fair you get anywhere else. no . school was still up and running in june when i left ... ",2
4,"a billy joel piano man doubled mixed with beer, a rowdy crowd, and a welcome to sing sing a unique musical style found in homestead.neif youre want to grab a bite to eat or a few come on in serving food and drink from rock bottom sing sing sing keeps your tummy full while you listen to two or more amazingly talented pianists take your musical requests. they play anything youd like, for you of course. wanting to hear britney spears is dura ##ble yep, they play that... new or old.nathe crowd makes the music so make sure you come ready for a good time. if the music is dead, its harder for the guys to get a reaction. if youre wanting to have some fun it can be a good time its the perfect place for the parties especially if you want to embarrass a friend. the crowd will bring them up to the stage and perform a little bit for being a good sport, you get the coveted sing sing bumper sticker. now who wouldnt be thatnndueling pianos and brews... time to shut up sing sing ","a different style love or hate is a square cut thicker crust with cold cream cheese on top.neif youre want to grab a bite to eat or a few come on in serving food and drink from rock bottom sing sing sing keeps your tummy full while you listen to two or more amazingly talented pianists take your musical requests. they play anything youd like, for you of course. wanting to hear britney spears is dura ##ble yep, they play that... new or old.nathe crowd makes the music so make sure you come ready for a good time. if the music is dead, its harder for the guys to get a reaction. if youre wanting to have some fun it can be a good time its the perfect place for the parties especially if you want to embarrass a friend. the crowd will bring them up to the stage and perform a little bit for being a good sport, you get the coveted sing sing bumper sticker. now who wouldnt be thatnndueling pianos and brews... time to shut up sing sing ",2
5,mediocre service. cold food our food lasted so long the lettuce pickles wilted. bland and crazy overpriced. food waits in the arcade. pay per cent maximum. avoid at all costs. fair manager. ,mediocre service. just so many other good food places in the area for half the price. bland and crazy overpriced. food waits in the arcade. pay per cent maximum. avoid at all costs. fair manager. ,1
6,"ok let me tell you about my bad experience first. i went to db last night for a post ##card party which, i note, is a great it was around midnight and the place wasnt really populated. there were three bartenders and only one was busy making rounds to see if anyone needed me the two other bartenders were chatting on the far side of the bar that no one was sitting at. kind of counter work if you ask but ni stood there for about hours which for a busy bar is fine but when i am the only one with my card out then, it just seems a little ridiculous. i made eye contact with the one girl twice and gave her a look and she literally turned away. i just had to walk to them to get their attention. i was standing there in front of them smiling and they would ask if i need anything. i finally said are you working and they gave each other a strange look. i felt like i was the wrong one. i asked for a ergot the beer.nein between that time, the other girl brought food over and set it and she took a bite from the plate sitting in front of me and then served it to me on the other side of the bar. what the hell i felt like i was in some grimy bar in out in the open not an established db. ni was just too turned off from that experience. nathe good is that db is a different type of entertainment when you try to mix it up. i remember being here with my grandparents when i was a kid and it was ","ok let me tell you about my bad experience first. i went to db last night for a post ##card party which, i note, is a great it was around midnight and the place wasnt really populated. there were three bartenders and only one was busy making rounds to see if anyone needed me the two other bartenders were chatting on the far side of the bar that no one was sitting at. went to getaway last night for famous fajitas. i made eye contact with the one girl twice and gave her a look and she literally turned away. i just had to walk to them to get their attention. i was standing there in front of them smiling and they would ask if i need anything. i finally said are you working and they gave each other a strange look. i felt like i was the wrong one. i asked for a ergot the beer.nein between that time, the other girl brought food over and set it and she took a bite from the plate sitting in front of me and then served it to me on the other side of the bar. what the hell i felt like i was in some grimy bar in out in the open not an established db. ni was just too turned off from that experience. nathe good is that db is a different type of entertainment when you try to mix it up. i remember being here with my grandparents when i was a kid and it was ",1
7,"i used to love db when it first opened in the waterfront, but it has moved down hill over the years the games are not as good and do not cost you as many tickets and the prizes have become cheaper in quality. it takes a whole lot of a lot of tickets for you to even get a ticket the atmosphere is okay but it used to be so much better with the fun games and diverse groups of people now, it is run down and most of the games are app related like fruit ninja and d ##x rides. with such games, you cant even get tickets and they have a lot of tokens last time i went, back in the winter, most of the rules were broken, which made for a negative player so i would go to db to get some games again in the future but it is no longer one of my favorite places to go due to the decline of fun games where you can earn tickets. ","its got its ups and downs its got a reasonably attractive interior, antique high ceilings, a broad menu of dozens of beers and a tasty looking bar featuring daily specials. it takes a whole lot of a lot of tickets for you to even get a ticket the atmosphere is okay but it used to be so much better with the fun games and diverse groups of people now, it is run down and most of the games are app related like fruit ninja and d ##x rides. with such games, you cant even get tickets and they have a lot of tokens last time i went, back in the winter, most of the rules were broken, which made for a negative player so i would go to db to get some games again in the future but it is no longer one of my favorite places to go due to the decline of fun games where you can earn tickets. ",1
8,"like any barns noble, it has a nice comfy cafe, and a good selection of books. the staff is very friendly and helpful. they have a decent library and the prices are pretty reasonable. obviously its hard for them to compete with them however since all the small shop bookstores are gone, its hard to walk into one every once in a while ","this is my goto and they have a great selection and lots of hard to find brews. the staff is very friendly and helpful. they have a decent library and the prices are pretty reasonable. obviously its hard for them to compete with them however since all the small shop bookstores are gone, its hard to walk into one every once in a while ",2
9,"me, ive experienced better is an understatement.fridays is like the fine dining chain for the sinzer in pittsburgh...in. when we were seated, it was quick which was a surprise. sometimes this restaurant gets packed and i never understand why. i was happy about how i ordered one of their skinny margaritas, blackberry to be honest it was a good size, looked at .pop, that was part of my food bill.n. the waitress started off attentive, but after our food ran out she was gone. i ordered a turkey burger with pickle and mustard. a mashed potato on the side because i had heartburn han. food came. my burger had lettuce on it only. waitress was supposed to come and get our next round of drinks. i had to wait to ask for my pickle.n. the sweet potatoes were more like rubber than potatoes and not what i was expecting. disappointment.n. the waitress then went into business and only returned with our check. never again will i look at home i will, however, not should a happy hour arise... ","me, ive experienced better is an understatement.fridays is like the fine dining chain for the sinzer in pittsburgh...in. when we were seated, it was quick which was a surprise. sometimes this restaurant gets packed and i never understand why. it was cold but it was good.pop, that was part of my food bill.n. the waitress started off attentive, but after our food ran out she was gone. i ordered a turkey burger with pickle and mustard. a mashed potato on the side because i had heartburn han. food came. my burger had lettuce on it only. waitress was supposed to come and get our next round of drinks. i had to wait to ask for my pickle.n. the sweet potatoes were more like rubber than potatoes and not what i was expecting. disappointment.n. the waitress then went into business and only returned with our check. never again will i look at home i will, however, not should a happy hour arise... ",1
